month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
4,13,26.930769230769236,20.86923076923077,27.384615384615383,936.746153846154,310.53846153846155,2.723076923076923,278.53846153846155,398.0769230769231,178.30769230769232
7,28,26.35384615384616,65.62307692307692,84.15384615384616,921.9846153846154,117.6153846153846,4.8769230769230765,0.0769230769230769,113.3076923076923,113.3076923076923
12,19,12.63,3.7,18.2,942.5,227.3,1.7399999999999998,473.0,318.2,118.8
10,1,29.433333333333334,41.46666666666667,51.5,934.3583333333332,163.08333333333334,1.5,14.166666666666666,176.5,168.33333333333334
1,29,14.21818181818182,4.745454545454546,22.363636363636363,941.7727272727273,268.3636363636364,2.0,629.0,377.45454545454544,86.81818181818181
10,17,26.225,22.625,37.25,938.8333333333334,187.16666666666663,1.8,53.91666666666666,203.16666666666663,164.58333333333334
6,6,29.035714285714285,32.69285714285714,45.71428571428572,928.8071428571428,139.21428571428572,4.507142857142857,115.35714285714286,323.2857142857143,239.3571428571429
7,11,34.586666666666666,48.1,43.66666666666666,920.1133333333332,137.4,3.433333333333333,0.0666666666666666,139.0,138.93333333333334
10,16,26.78333333333333,19.925,33.416666666666664,939.1916666666666,182.58333333333331,1.7,156.58333333333334,318.5,211.83333333333331
8,11,32.4,39.42142857142857,44.92857142857143,927.2857142857144,166.21428571428572,1.4142857142857144,142.28571428571428,382.2142857142857,290.07142857142856
3,29,21.49230769230769,23.907692307692308,62.15384615384615,916.4307692307692,176.76923076923077,1.4153846153846152,72.15384615384616,256.84615384615387,197.46153846153845
8,18,31.52142857142857,51.00714285714286,61.0,925.4357142857144,117.35714285714286,2.0357142857142856,126.71428571428572,294.92857142857144,202.64285714285717
9,23,27.15833333333333,34.5,58.0,933.1416666666668,196.25,1.35,557.1666666666666,477.5,124.25
2,20,9.583333333333334,18.28333333333333,77.91666666666667,920.6333333333332,42.25,2.083333333333333,0.25,42.91666666666666,42.833333333333336
9,17,29.90714285714285,23.85,37.785714285714285,930.85,195.14285714285717,2.292857142857143,311.35714285714283,392.8571428571428,172.0
2,29,17.12727272727273,21.227272727272727,59.90909090909091,937.7454545454548,131.0909090909091,3.9,0.0,27.181818181818183,27.181818181818183
2,15,17.691666666666666,5.608333333333333,29.25,937.6333333333332,307.75,2.3916666666666666,631.9166666666666,395.0833333333333,83.83333333333333
2,13,12.536363636363635,19.28181818181818,76.81818181818181,924.4,33.63636363636363,2.2545454545454544,1.6363636363636365,77.36363636363636,77.27272727272727
12,15,11.51,6.840000000000001,45.1,942.78,281.9,2.55,389.5,303.0,123.3
11,3,23.125,19.40833333333333,35.833333333333336,939.1083333333332,244.91666666666663,2.083333333333333,375.0,325.0833333333333,117.41666666666669
11,19,19.13636363636364,8.818181818181818,29.818181818181817,938.4909090909092,215.9090909090909,1.5727272727272728,386.54545454545456,304.90909090909093,136.36363636363637
10,28,24.066666666666663,8.966666666666667,16.083333333333332,937.3166666666666,183.25,1.775,511.3333333333333,372.4166666666667,96.41666666666669
12,26,15.19,6.49,22.7,939.04,172.7,1.5,521.0,326.6,99.2
7,29,29.633333333333333,53.48,55.46666666666667,928.88,104.33333333333331,0.92,87.06666666666666,197.66666666666663,124.86666666666666
7,11,35.528571428571425,33.65,29.857142857142858,921.8928571428572,165.35714285714286,2.8000000000000003,329.92857142857144,472.2142857142857,204.57142857142856
8,31,32.43571428571429,40.371428571428574,45.142857142857146,926.2071428571428,215.64285714285717,2.414285714285714,185.92857142857144,269.5,150.07142857142858
11,4,22.725,15.833333333333334,34.5,939.75,230.08333333333331,2.341666666666667,471.0833333333333,341.8333333333333,99.83333333333331
6,23,33.653333333333336,33.36,29.066666666666663,928.0866666666666,181.2,2.2266666666666666,279.8666666666667,408.1333333333333,181.8
1,30,14.70909090909091,3.909090909090909,19.181818181818183,939.2,299.45454545454544,1.9545454545454544,636.4545454545455,379.54545454545456,86.72727272727273
2,17,18.15,5.833333333333333,27.25,942.075,321.9166666666667,2.9916666666666667,561.5,391.0833333333333,104.83333333333331
3,11,10.208333333333334,19.45833333333333,93.33333333333331,917.3833333333332,116.75,2.458333333333333,0.0,18.666666666666668,18.666666666666668
3,27,21.21538461538461,24.03846153846154,52.23076923076923,919.6153846153846,209.53846153846155,1.507692307692308,197.69230769230768,353.38461538461536,201.23076923076923
6,7,33.89333333333333,21.06,17.933333333333334,931.2533333333332,218.86666666666667,2.813333333333333,510.8666666666667,524.0666666666667,132.2
3,23,21.23076923076923,20.815384615384616,45.23076923076923,937.3615384615384,164.15384615384616,2.3615384615384616,88.38461538461539,255.84615384615384,200.7692307692308
8,8,31.47142857142857,44.87857142857143,52.85714285714285,929.2785714285714,152.57142857142858,1.8357142857142856,96.5,268.0,196.78571428571428
5,30,23.092857142857145,37.457142857142856,63.785714285714285,932.7214285714286,64.57142857142857,3.8285714285714287,14.5,79.78571428571429,72.57142857142857
11,19,15.38181818181818,15.418181818181818,46.18181818181818,938.2090909090908,153.1818181818182,1.309090909090909,35.18181818181818,122.9090909090909,111.1818181818182
8,23,30.385714285714283,39.40714285714286,53.71428571428572,929.1142857142858,185.2142857142857,1.5571428571428572,26.214285714285715,302.07142857142856,288.42857142857144
12,8,14.580000000000002,22.23,68.0,942.8,106.9,3.89,0.0,16.7,16.7
9,26,29.058333333333334,27.441666666666663,48.25,932.325,223.83333333333331,1.775,535.4166666666666,471.25,127.83333333333331
5,27,36.135714285714286,18.085714285714285,13.714285714285714,926.1642857142856,264.0,3.542857142857143,576.9285714285714,566.3571428571429,132.42857142857142
9,27,27.891666666666666,40.09166666666667,59.75,936.2833333333332,110.16666666666669,1.9166666666666667,56.833333333333336,186.5,159.25
4,23,26.385714285714283,28.25714285714286,54.21428571428572,913.7071428571428,203.2142857142857,2.0,179.35714285714286,316.85714285714283,158.57142857142858
7,14,27.91333333333333,47.74666666666667,61.86666666666667,929.7666666666668,159.86666666666667,1.8733333333333333,84.4,190.33333333333331,113.93333333333334
4,26,29.392857142857142,15.342857142857143,20.0,933.8785714285714,221.5,1.792857142857143,553.0,527.2142857142857,118.0
4,23,26.37142857142857,17.65,35.142857142857146,933.3142857142856,252.8571428571429,2.1,606.6428571428571,529.7142857142857,104.0
4,6,22.5,24.064285714285717,64.64285714285714,915.6357142857142,97.78571428571428,1.1357142857142857,412.57142857142856,443.7857142857143,160.07142857142858
9,1,32.97857142857143,40.8,44.0,927.2142857142856,204.3571428571429,1.842857142857143,171.64285714285714,360.2142857142857,248.0
4,19,21.985714285714288,16.564285714285713,58.285714285714285,915.2285714285716,207.92857142857144,1.5642857142857145,554.4285714285714,512.7142857142857,114.0
5,19,25.37857142857143,28.978571428571428,52.0,913.6357142857142,219.92857142857144,1.65,454.1428571428572,501.3571428571428,130.85714285714286
8,20,24.86923076923077,52.8,79.84615384615384,928.0769230769232,117.84615384615384,4.2384615384615385,0.0,79.3076923076923,79.3076923076923
11,22,15.42727272727273,9.89090909090909,24.818181818181817,940.318181818182,265.09090909090907,1.2545454545454544,5.181818181818182,101.36363636363636,99.36363636363636
10,17,27.391666666666666,11.925,20.5,934.7083333333334,165.08333333333334,1.8333333333333333,542.0,410.0,104.75
2,25,9.541666666666666,12.558333333333332,75.08333333333333,915.5833333333334,73.66666666666667,1.625,153.16666666666666,245.66666666666663,141.08333333333334
5,4,27.37857142857143,25.214285714285715,37.785714285714285,934.5357142857144,147.42857142857142,2.1214285714285714,371.8571428571428,457.8571428571428,161.78571428571428
12,11,16.009999999999998,12.25,39.2,939.69,241.7,1.85,5.1,48.4,47.7
10,4,27.60833333333333,31.9,54.75,931.5416666666666,191.33333333333331,1.1333333333333333,316.4166666666667,391.5833333333333,183.41666666666663
8,25,31.92142857142857,35.30714285714286,43.642857142857146,928.95,187.14285714285717,2.1142857142857143,208.8571428571429,380.7142857142857,229.5
10,29,22.025,12.091666666666669,32.25,942.2083333333334,217.75,1.7583333333333335,482.3333333333333,362.1666666666667,107.41666666666669
1,31,7.345454545454545,16.09090909090909,92.63636363636364,921.9,79.0,2.4727272727272727,0.0,42.72727272727273,42.72727272727273
